Name of Game,Release Date,Category,Platforms Available,Developer,Publisher,Price,Average Rating,Age Restriction,Multiplayer (True/False),Average Completion Time,Trailer Link,Image Link,Description
Gears 5,2019-09-10,Third-Person Shooter,"PC, Xbox One",The Coalition,Xbox Game Studios,$60,8.5,18,True,10-12 hours,https://www.youtube.com/watch?v=4IP_EPLfvSo,https://www.google.com/search?q=Gears+5&tbm=isch,"The world is crumbling. The Swarm has corrupted the Coalition's robot army and is descending upon human cities. With danger closing in, Kait Diaz breaks away to uncover her connection to the enemy and discovers the true danger to Sera – herself."
Borderlands 3,2019-09-13,"Action RPG, First-Person Shooter","PC, PS4, Xbox One, Stadia",Gearbox Software,2K Games,$60,8.0,18,True,30-50 hours,https://www.youtube.com/watch?v=d9Gu1PspA3Y,https://www.google.com/search?q=Borderlands+3&tbm=isch,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure!"
God of War,2018-04-20,Action-Adventure,PS4,Santa Monica Studio,Sony Interactive Entertainment,$60,9.5,18,False,20-50 hours,https://www.youtube.com/watch?v=K0u_kAWLJOA,https://www.google.com/search?q=God+of+War+2018&tbm=isch,"Kratos and his son Atreus set out on a deeply personal quest into the Norse wilds, fighting gods and monsters to fulfill a promise to his deceased wife."
Red Dead Redemption 2,2018-10-26,Action-Adventure,"PS4, Xbox One, PC",Rockstar Games,Rockstar Games,$60,9.5,18,True,50-200 hours,https://www.youtube.com/watch?v=HVRzx17WHVk,https://www.google.com/search?q=Red+Dead+Redemption+2&tbm=isch,"An epic tale of life in America at the dawn of the modern age, following Arthur Morgan and the Van der Linde gang as they flee across the heartland of America."
Marvel's Spider-Man,2018-09-07,Action-Adventure,PS4,Insomniac Games,Sony Interactive Entertainment,$60,9.0,12,False,20-30 hours,https://www.youtube.com/watch?v=n9WEU4kRRrg,https://www.google.com/search?q=Marvel%27s+Spider-Man+2018&tbm=isch,Swing through vibrant neighborhoods and defeat villains as the iconic Spider-Man in this original storyline inspired by the comic books.
Monster Hunter: World,2018-01-26,Action RPG,"PS4, Xbox One, PC",Capcom,Capcom,$60,9.0,12,True,50-100 hours,https://www.youtube.com/watch?v=Ro6r15wzp2o,https://www.google.com/search?q=Monster+Hunter+World&tbm=isch,"Hunters traverse a new world packed with surprises and excitement, engaging in epic battles against fearsome monsters."
Celeste,2018-01-25,Platformer,"PC, PS4, Xbox One, Switch",Matt Makes Games,Matt Makes Games,$20,9.5,3,False,10-15 hours,https://www.youtube.com/watch?v=70d9irlxiB4,https://www.google.com/search?q=Celeste+game&tbm=isch,"Help Madeline survive her inner demons on her journey to the top of Celeste Mountain in this super-tight, hand-crafted platformer."
Assassin's Creed Odyssey,2018-10-05,Action RPG,"PC, PS4, Xbox One, Stadia",Ubisoft Quebec,Ubisoft,$60,8.5,18,False,40-100 hours,https://www.youtube.com/watch?v=s_SJZSAtLBA,https://www.google.com/search?q=Assassin%27s+Creed+Odyssey&tbm=isch,Embark on an epic journey in ancient Greece to become a legendary Spartan hero.
Super Smash Bros. Ultimate,2018-12-07,Fighting,Nintendo Switch,"Bandai Namco Studios, Sora Ltd.",Nintendo,$60,9.5,12,True,Endless,https://www.youtube.com/watch?v=ExZdC_rOQSo,https://www.google.com/search?q=Super+Smash+Bros.+Ultimate&tbm=isch,The ultimate fighting game featuring all past Super Smash Bros. characters and numerous stages from the series history.
Detroit: Become Human,2018-05-25,Adventure,"PS4, PC",Quantic Dream,"Sony Interactive Entertainment (PS4), Quantic Dream (PC)",$60,8.5,18,False,10-20 hours,https://www.youtube.com/watch?v=8a-EObAhYrg,https://www.google.com/search?q=Detroit:+Become+Human&tbm=isch,Explore a near-future world where androids live alongside humans. Every choice you make affects the outcome of the game.
Forza Horizon 4,2018-10-02,Racing,"PC, Xbox One",Playground Games,Microsoft Studios,$60,9.0,3,True,Endless,https://www.youtube.com/watch?v=VmQNo8xtcAg,https://www.google.com/search?q=Forza+Horizon+4&tbm=isch,Experience dynamic seasons in a shared open-world while exploring beautiful scenery in over 450 cars.
Hitman 2,2018-11-13,Stealth,"PC, PS4, Xbox One",IO Interactive,Warner Bros. Interactive Entertainment,$60,8.5,18,False,20-40 hours,https://www.youtube.com/watch?v=Xq5mKOYlWVA,https://www.google.com/search?q=Hitman+2&tbm=isch,"Travel the globe and track your targets across exotic sandbox locations in HITMAN™ 2. From sun-drenched streets to dark and dangerous rainforests, nowhere is safe from the world's most creative assassin, Agent 47."
The Legend of Zelda: Breath of the Wild,2017-03-03,Action-Adventure,"Nintendo Switch, Wii U",Nintendo EPD,Nintendo,$60,10,12,False,50-100 hours,https://www.youtube.com/watch?v=zw47_q9wbBE,https://www.google.com/search?q=The+Legend+of+Zelda:+Breath+of+the+Wild&tbm=isch,"An open-world adventure across the vast kingdom of Hyrule, as Link awakens from a deep sleep to find a world in ruin."
Horizon Zero Dawn,2017-02-28,Action RPG,"PS4, PC",Guerrilla Games,Sony Interactive Entertainment,$60,9.5,16,False,40-60 hours,https://www.youtube.com/watch?v=u4-FCsiF5x4,https://www.google.com/search?q=Horizon+Zero+Dawn&tbm=isch,Aloy embarks on a quest to uncover her past and discover her destiny in a world overrun by robotic creatures.
Persona 5,2017-04-04,JRPG,"PS4, PS3",Atlus,Atlus,$60,9.5,16,False,80-100 hours,https://www.youtube.com/watch?v=vR0f83wdzIE,https://www.google.com/search?q=Persona+5&tbm=isch,"Players live a double life as a high school student and a phantom thief, exploring the metaverse to change the hearts of corrupt adults."
Cuphead,2017-09-29,Run and Gun,"PC, Xbox One, PS4, Switch",Studio MDHR,Studio MDHR,$20,8.5,12,True,10-20 hours,https://www.youtube.com/watch?v=4TjUPXAn2Rg,https://www.google.com/search?q=Cuphead&tbm=isch,"A classic run-and-gun action game heavily focused on boss battles, inspired by cartoons of the 1930s."
Super Mario Odyssey,2017-10-27,Platformer,Nintendo Switch,Nintendo EPD,Nintendo,$60,10,3,True,12-50 hours,https://www.youtube.com/watch?v=wGQHQc_3ycE,https://www.google.com/search?q=Super+Mario+Odyssey&tbm=isch,"Mario embarks on a new journey through unknown worlds, running and jumping through huge 3D worlds in the first sandbox-style Mario game since Super Mario 64 and Super Mario Sunshine."
PlayerUnknown's Battlegrounds (PUBG),2017-12-20,Battle Royale,"PC, PS4, Xbox One, Mobile",PUBG Corporation,PUBG Corporation,$30,8.5,16,True,Endless,https://www.youtube.com/watch?v=ODWCbu_cuqk,https://www.google.com/search?q=PUBG&tbm=isch,A battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.
Nier: Automata,2017-03-07,Action RPG,"PC, PS4, Xbox One",PlatinumGames,Square Enix,$60,9.0,18,False,20-40 hours,https://www.youtube.com/watch?v=_pGaz_qN0cw,https://www.google.com/search?q=Nier:+Automata&tbm=isch,"Follow the story of androids 2B, 9S, and A2 as they reclaim the machine-driven dystopia overrun by powerful machines."
Hellblade: Senua's Sacrifice,2017-08-08,Action-Adventure,"PC, PS4, Xbox One, Switch",Ninja Theory,Ninja Theory,$30,9.0,18,False,8-10 hours,https://www.youtube.com/watch?v=fBJ0ifVtK5c,https://www.google.com/search?q=Hellblade:+Senua%27s+Sacrifice&tbm=isch,A journey into myth and madness set in the Viking age. A broken Celtic warrior embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.
Resident Evil 7: Biohazard,2017-01-24,Survival Horror,"PC, PS4, Xbox One",Capcom,Capcom,$60,9.0,18,False,9-12 hours,https://www.youtube.com/watch?v=W1OUs3HwIuo,https://www.google.com/search?q=Resident+Evil+7:+Biohazard&tbm=isch,Experience horror like never before in Resident Evil 7. Step into the new Isolated View and feel the horror close from every angle.
Destiny 2,2017-09-06,"First-Person Shooter, MMO","PC, PS4, Xbox One",Bungie,"Activision (until 2019), Bungie (post-2019)",Free-to-play (as of October 2019),8.5,12,True,"12-50 hours (main story), Endless (with expansions and multiplayer)",https://www.youtube.com/watch?v=hdWkpbPTpmE,https://www.google.com/search?q=Destiny+2&tbm=isch,Engage in epic PvE and PvP battles in the sequel to Destiny. Explore the mysteries of the solar system and unleash elemental abilities against powerful enemies.
Overwatch,2016-05-24,First-Person Shooter,"PC, PS4, Xbox One, Switch",Blizzard Entertainment,Blizzard Entertainment,$40,9.0,12,True,Endless,https://www.youtube.com/watch?v=dushZybUYnM,https://www.google.com/search?q=Overwatch&tbm=isch,A team-based multiplayer first-person shooter where heroes do battle in a world of conflict.
Dark Souls III,2016-04-12,Action RPG,"PC, PS4, Xbox One",FromSoftware,Bandai Namco Entertainment,$60,9.0,16,True,50-100 hours,https://www.youtube.com/watch?v=_zDZYrIUgKE,https://www.google.com/search?q=Dark+Souls+III&tbm=isch,"The final journey in the brutal and challenging Dark Souls series, where players face fearsome enemies and environments."
The Witcher 3: Wild Hunt - Blood and Wine,2016-05-31,Action RPG,"PC, PS4, Xbox One",CD Projekt Red,CD Projekt,Expansion; requires base game ($50 for the complete edition),10,18,False,20-30 hours (expansion alone),https://www.youtube.com/watch?v=ffdxS9R6NTE,https://www.google.com/search?q=The+Witcher+3:+Wild+Hunt+-+Blood+and+Wine&tbm=isch,"An expansion to The Witcher 3: Wild Hunt that takes Geralt to the land of Toussaint, a remote valley untouched by war, where he uncovers the dark secret behind a beast terrorizing the kingdom."
Doom,2016-05-13,First-Person Shooter,"PC, PS4, Xbox One, Switch",id Software,Bethesda Softworks,$60,9.0,18,True,11-15 hours,https://www.youtube.com/watch?v=KSZ4tSoumNk,https://www.google.com/search?q=Doom+2016&tbm=isch,"Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat."
Uncharted 4: A Thief's End,2016-05-10,Action-Adventure,PS4,Naughty Dog,Sony Interactive Entertainment,$60,10,16,True,15-20 hours,https://www.youtube.com/watch?v=hh5HV4iic1Y,https://www.google.com/search?q=Uncharted+4:+A+Thief%27s+End&tbm=isch,Nathan Drake embarks on a globe-trotting journey in pursuit of a historical conspiracy behind a fabled pirate treasure.
Final Fantasy XV,2016-11-29,Action RPG,"PC, PS4, Xbox One",Square Enix,Square Enix,$60,8.5,16,,28-60 hours,https://www.youtube.com/watch?v=eJ0M5jZBep8,https://www.google.com/search?q=Final+Fantasy+XV&tbm=isch,Join Prince Noctis and his closest friends on a grand journey to reclaim his kingdom from an invading empire.
Stardew Valley,2016-02-26,"Simulation, RPG","PC, PS4, Xbox One, Switch, Mobile",ConcernedApe,Chucklefish,$15,9.0,3,,50-150 hours,https://www.youtube.com/watch?v=ot7uXNQskhs,https://www.google.com/search?q=Stardew+Valley&tbm=isch,"Inherit a dilapidated farm, and turn it into a thriving home. Grow crops, raise animals, mine ores, and become part of the community."
Inside,2016-06-29,"Puzzle-Platformer, Adventure","PC, PS4, Xbox One, Switch",Playdead,Playdead,$20,9.5,12,False,3-4 hours,https://www.youtube.com/watch?v=op4G1--kb-g,https://www.google.com/search?q=Inside+game&tbm=isch,"A dark, narrative-driven platformer combining intense action with challenging puzzles. It has won several awards for its art direction and game design."
Titanfall 2,2016-10-28,First-Person Shooter,"PC, PS4, Xbox One",Respawn Entertainment,Electronic Arts,$20,9.0,16,True,6-8 hours (Campaign),https://www.youtube.com/watch?v=HwbutTQ8Yow,https://www.google.com/search?q=Titanfall+2&tbm=isch,Pilot and Titan unite as never before in a highly anticipated sequel featuring a critically acclaimed single-player campaign.
Battlefield 1,2016-10-21,First-Person Shooter,"PC, PS4, Xbox One",EA DICE,Electronic Arts,$60,9.0,18,True,"6-10 hours (Campaign), Endless (Multiplayer)",https://www.youtube.com/watch?v=c7nRTF2SowQ,https://www.google.com/search?q=Battlefield+1&tbm=isch,"Experience the dawn of all-out war in Battlefield 1. Discover a world at war through an adventure-filled campaign, or join in epic multiplayer battles with up to 64 players."
The Witcher 3: Wild Hunt,2015-05-19,Action RPG,"PC, PS4, Xbox One, Switch",CD Projekt Red,CD Projekt,$60,9.5,18,False,70-100 hours,https://www.youtube.com/watch?v=c0i88t0Kacs,https://www.google.com/search?q=The+Witcher+3:+Wild+Hunt&tbm=isch,"Geralt of Rivia sets out on a quest to find the child of prophecy in a vast open world rich with merchant cities, dangerous mountain passes, and forgotten caverns to explore."
Bloodborne,2015-03-24,Action RPG,PS4,FromSoftware,Sony Computer Entertainment,$60,9.5,18,False,40-60 hours,https://www.youtube.com/watch?v=G203e1HhixY,https://www.google.com/search?q=Bloodborne&tbm=isch,"Face your fears in this dangerous new world where danger, death, and madness lurk around every corner."
Fallout 4,2015-11-10,Action RPG,"PC, PS4, Xbox One",Bethesda Game Studios,Bethesda Softworks,$60,8.5,18,False,80-100 hours,https://www.youtube.com/watch?v=GE2BkLqMef4,https://www.google.com/search?q=Fallout+4&tbm=isch,"As the sole survivor of Vault 111, you enter a world destroyed by nuclear war. Every second is a fight for survival, and every choice is yours."
Metal Gear Solid V: The Phantom Pain,2015-09-01,"Action-Adventure, Stealth","PC, PS3, PS4, Xbox 360, Xbox One",Kojima Productions,Konami,$60,9.0,18,False,50-150 hours,https://www.youtube.com/watch?v=alxN1i1GagM,https://www.google.com/search?q=Metal+Gear+Solid+V:+The+Phantom+Pain&tbm=isch,"Snake, aka Big Boss, awakes from a nine year coma to lead a new mercenary group, Diamond Dogs, and pursue revenge on those who destroyed his forces and came close to killing him."
Rocket League,2015-07-07,"Sports, Racing","PC, PS4, Xbox One, Switch",Psyonix,Psyonix,$20,9.0,3,True,Endless,https://www.youtube.com/watch?v=Vawwy2eu5sA,https://www.google.com/search?q=Rocket+League&tbm=isch,Soccer meets driving in this physics-based multiplayer-focused sequel to Supersonic Acrobatic Rocket-Powered Battle-Cars! Choose a variety of high-flying vehicles equipped with huge rocket boosters to score amazing aerial goals and pull off incredible game-changing saves.
Undertale,2015-09-15,"Indie, RPG","PC, PS4, Xbox One, Switch, Vita",Toby Fox,Toby Fox,$10,9.5,10,False,6-20 hours,https://www.youtube.com/watch?v=1Hojv0m3TqA,https://www.google.com/search?q=Undertale&tbm=isch,"A unique RPG where you don't have to destroy anyone. In this game, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever."
Life is Strange,2015-01-30,Graphic Adventure,"PC, PS3, PS4, Xbox 360, Xbox One, iOS, Android",Dontnod Entertainment,Square Enix,$20 (Full Season),9.0,16,False,14-20 hours,https://www.youtube.com/watch?v=AURVxvIZrmU,https://www.google.com/search?q=Life+is+Strange&tbm=isch,"Follow the story of Max Caulfield, a photography senior who discovers she can rewind time while saving her best friend Chloe Price. The pair soon find themselves investigating the mysterious disappearance of fellow student Rachel Amber, uncovering a dark side to life in Arcadia Bay."
Cities: Skylines,2015-03-10,"Simulation, Strategy","PC, PS4, Xbox One, Switch",Colossal Order,Paradox Interactive,$30,9.0,3,False,Endless,https://www.youtube.com/watch?v=qIJCyGgsJyU,https://www.google.com/search?q=Cities:+Skylines&tbm=isch,A modern take on the classic city simulation. The game introduces new gameplay elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.
